"","p","cumsum","average","sd","ratio","ava","avb"
"A. agaricites",1e-04,0.201309663856584,0.0878857870636815,0.0274195731408525,3.20522083302384,9.2507256398102,3.27799233952368
"S. siderea",1e-04,0.334759947951543,0.058260408501367,0.0197923667337402,2.94357967822262,7.4902930634642,3.52518884609761
"A. tenuifolia",0.002,0.445199198362876,0.0482144784268168,0.0289765031460811,1.66391638714134,4.07297890376628,0.824550207431735
"P. porites",1e-04,0.54944765535632,0.0455117629105492,0.0239538538122682,1.8999766495711,4.49699443356652,1.43179965541037
"P. astreoides",0.1161,0.61667775894178,0.0293506553773311,0.02522653196463,1.16348356636907,6.91257897704892,5.17651208649434
"P. strigosa",0.0011,0.661456114547332,0.0195488927377821,0.0130038049192358,1.50332097868251,1.99971150847023,0.890254419302935
"M. cavernosa",9e-04,0.70612943588501,0.0195030379133101,0.012777423816162,1.52636698867584,2.43688311015067,1.2911947457661
"Orbicella spp.",0.8278,0.750166351938097,0.0192252023725003,0.0136843135357837,1.40490805930655,2.51186124549554,1.45494194877387
"D. stokesii",1e-04,0.790309876063448,0.0175254637342187,0.0102091312613037,1.71664594035015,1.38091120209321,0.245234086798505
"H. cucullata",1e-04,0.829421626698878,0.0170750222427577,0.0108284168841669,1.57687152474933,1.16379154033593,0
"S. intersepta",0.7771,0.862720495866526,0.0145372917974478,0.0122244056639274,1.18920233810183,2.23812972471699,1.88770000284813
"M. decactis",5e-04,0.895996161040221,0.0145271616266825,0.0157685932670503,0.921271883969397,0.978126885991517,0.0555555555555556
"M. meandrites",1e-04,0.922287309629046,0.0114779302805018,0.00988758691219917,1.16084241609452,0.766839923301909,0
"E. fastigiata",1e-04,0.943369491490905,0.00920385097492941,0.00873280543177912,1.05393977305805,0.642248774017504,0
"D. labyrinthiformis",0.6721,0.959651575054942,0.00710827141453814,0.00908111250255435,0.782753369979583,0.434912618041455,0.166666666666667
"S. radians",0.8283,0.967728926601403,0.00352633045255323,0.00674858923036867,0.52252853628796,0.245234086798505,0
"A. fragilis",0.7744,0.974253249108633,0.00284832435572339,0.0067210767058176,0.423789889685078,0.0555555555555556,0.157134840263677
"C. natans",1e-04,0.97957258092178,0.00232226140611085,0.00520535960192405,0.446128910143398,0.166666666666667,0
"Isophyllia spp.",0.3111,0.984823712808952,0.0022924873552423,0.00540324305740512,0.424279887261496,0.0555555555555556,0.111111111111111
"Mycetophyllia spp.",1e-04,0.989756027166917,0.00215330114357585,0.00611044827808116,0.352396591146999,0.134122975687394,0
"M. auretenra",0.4222,0.994422816665693,0.00203738092003734,0.00611263044399271,0.333306739006218,0.0962250448649376,0.0555555555555556
"P. clivosa",1e-04,0.9980022887915,0.00156269062807192,0.00444337856057048,0.351689734910024,0.111111111111111,0
"F. fragum",1e-04,1,0.000872141051360899,0.003604558677473,0.241955015689277,0.0555555555555556,0
